2012-04-01T15:54:08.501275+00:00,sim64a[15579]:,connect,3,190.73.89.1,bbbb
2012-04-01T15:54:17.713231+00:00,sim64a[15579]:,connect,4,71.200.68.118,Benjad
2012-04-01T15:54:17.765196+00:00,sim64a[15579]:,disconnect,5,80.132.158.159,Client#2
2012-04-01T15:55:03.201781+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,can you remove the stops at failville?
2012-04-01T15:55:19.977291+00:00,sim64a[15579]:,connect,5,80.132.158.159,Client#5
2012-04-01T15:55:48.760935+00:00,sim64a[15579]:,chat,4,71.200.68.118,Benjad,15,,"Can you make a public stattion, so I can connect"
2012-04-01T16:02:30.630997+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,no public stations
2012-04-01T16:03:01.749074+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Benjad
2012-04-01T16:05:06.708556+00:00,sim64a[15579]:,disconnect,3,190.73.89.1,bbbb
2012-04-01T16:05:45.648917+00:00,sim64a[15579]:,connect,3,71.200.68.118,Benjad
2012-04-01T16:08:28.510314+00:00,sim64a[15579]:,chat,3,71.200.68.118,Benjad,15,,"@Edison.   Why don't you download a copy of this, and play it by yourself.  There is no way to start a company.  You refuse connections, and have developed all the possible connections yourself.  "
2012-04-01T16:10:46.857704+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Benjad
2012-04-01T16:14:30.370531+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,look for good factories..
2012-04-01T16:15:38.453992+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,"look @the waste co., he getting money and i don't steal they lines."
2012-04-01T16:15:48.172710+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,and he doens't steal mine lines.
2012-04-01T16:16:22.122109+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,"just take a look on other things, i already connected all the cities, don't need to create public stations for pax interchange"
2012-04-01T16:19:03.632272+00:00,sim64a[15579]:,connect,3,71.200.68.118,Benjad
2012-04-01T16:19:44.320967+00:00,sim64a[15579]:,disconnect,3,71.200.68.118,Benjad
2012-04-01T16:20:17.932031+00:00,sim64a[15579]:,chat,5,80.132.158.159,Client#5,9,The Waste Co.,@Benjad: There is no rule that only one company is allowed to connect to a factory or to a city. Feel free to conect wherever you want.
2012-04-01T16:20:53.646580+00:00,sim64a[15579]:,connect,3,71.191.232.112,Client#3
2012-04-01T16:21:16.290918+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,Just don't overload other player lines :]
