2012-05-26T09:44:41.094074+00:00,sim128[24094]:,connect,4,82.159.113.219,Client#4
2012-05-26T10:14:17.077322+00:00,sim128[24094]:,connect,6,87.151.234.171,Client#3
2012-05-26T10:28:22.906994+00:00,sim128[24094]:,connect,7,220.245.52.25,Client#12
2012-05-26T10:28:22.999467+00:00,sim128[24094]:,disconnect,4,82.159.113.219,Client#4
2012-05-26T10:28:22.999519+00:00,sim128[24094]:,disconnect,5,79.249.183.217,Client#1
2012-05-26T10:31:10.355502+00:00,sim128[24094]:,disconnect,7,220.245.52.25,Client#12
2012-05-26T10:31:24.035455+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T10:38:38.884634+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T10:38:53.413623+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T10:43:49.236276+00:00,sim128[24094]:,chat,4,220.245.52.25,Client#12,10,Alliance,.. - interesting - u make money from moving food across one side of the map and back and then to the supermarket- ingenius!
2012-05-26T10:46:44.622266+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T10:47:04.965459+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T10:47:59.453352+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T10:49:02.714836+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T10:49:29.722137+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T10:50:08.557137+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T10:55:27.289650+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T10:55:52.424200+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#9
2012-05-26T10:56:13.166446+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-26T10:58:49.859316+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#9
2012-05-26T10:59:04.095055+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#9
2012-05-26T10:59:53.384595+00:00,sim128[24094]:,disconnect,6,87.151.234.171,Client#3
2012-05-26T11:01:16.104224+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#9
2012-05-26T11:01:16.104261+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-26T11:01:33.848274+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#9
2012-05-26T11:03:03.183852+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#9
2012-05-26T11:06:23.008915+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-26T11:07:54.115493+00:00,sim128[24094]:,connect,7,220.245.52.25,Client#9
2012-05-26T11:07:54.288288+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#9
2012-05-26T11:07:54.288328+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#9
2012-05-26T11:10:29.644070+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-26T11:10:50.703041+00:00,sim128[24094]:,disconnect,7,220.245.52.25,Client#9
2012-05-26T11:11:00.024390+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#9
2012-05-26T11:22:24.172797+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#9
2012-05-26T11:44:34.516967+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#9
2012-05-26T11:51:28.469452+00:00,sim128[24094]:,connect,7,91.115.161.40,Client#6
2012-05-26T11:51:28.638445+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#9
2012-05-26T11:51:28.638711+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#9
2012-05-26T12:00:58.762562+00:00,sim128[24094]:,chat,7,91.115.161.40,Client#6,5,Freight Forwarder VM,my beer :(
2012-05-26T12:01:24.747231+00:00,sim128[24094]:,chat,7,91.115.161.40,Client#6,5,Freight Forwarder VM,why does he get the beer and not my plane? whats the cause that his trains are preferred?
2012-05-26T12:01:49.658949+00:00,sim128[24094]:,chat,6,220.245.52.25,Client#9,9,A-Train Transit,dunno soz
2012-05-26T12:02:00.383124+00:00,sim128[24094]:,connect,4,77.242.81.206,Client#7
2012-05-26T12:03:27.954784+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#9
2012-05-26T12:03:30.829466+00:00,sim128[24094]:,disconnect,7,91.115.161.40,Client#6
2012-05-26T12:06:27.653451+00:00,sim128[24094]:,disconnect,4,77.242.81.206,Client#7
2012-05-26T12:06:36.140498+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#9
2012-05-26T12:17:33.619280+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-26T12:18:05.359957+00:00,sim128[24094]:,chat,4,220.245.52.25,Client#4,15,,hi there...?
2012-05-26T12:25:11.348144+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#9
2012-05-26T12:34:24.649739+00:00,sim128[24094]:,connect,5,92.249.227.164,Client#2
2012-05-26T12:36:01.620925+00:00,sim128[24094]:,disconnect,5,92.249.227.164,Client#2
2012-05-26T13:32:45.183246+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T13:32:51.627872+00:00,sim128[24094]:,connect,5,91.115.161.40,Client#6
2012-05-26T13:54:57.619667+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-26T14:05:33.977438+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-26T14:09:22.192650+00:00,sim128[24094]:,connect,7,220.245.52.25,Client#4
2012-05-26T14:25:08.204873+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-26T14:25:08.204904+00:00,sim128[24094]:,disconnect,5,91.115.161.40,Client#6
2012-05-26T14:25:08.204926+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-26T14:25:08.204947+00:00,sim128[24094]:,disconnect,7,220.245.52.25,Client#4
2012-05-26T14:25:17.175155+00:00,sim128[24094]:,connect,8,220.245.52.25,Client#4
2012-05-26T15:02:30.817075+00:00,sim128[24094]:,connect,4,109.12.116.37,Client#4
2012-05-26T15:04:35.147862+00:00,sim128[24094]:,disconnect,4,109.12.116.37,Client#4
2012-05-26T15:44:45.039493+00:00,sim128[24094]:,connect,4,200.207.100.230,Myrex
2012-05-26T15:49:17.608292+00:00,sim128[24094]:,disconnect,4,200.207.100.230,Myrex
2012-05-26T16:12:25.828724+00:00,sim128[24094]:,disconnect,8,220.245.52.25,Client#4
2012-05-26T16:12:34.464573+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
