2012-06-30T18:09:37.501937+00:00,sim128[20107]:,chat,7,98.251.79.180,Client#5,9,A-Train Transit,the rail/station/road maintenance is usually the cause...
2012-06-30T18:24:49.195971+00:00,sim128[20107]:,disconnect,5,90.15.130.115,PITEX
2012-06-30T18:25:06.657035+00:00,sim128[20107]:,connect,5,90.15.130.115,PITEX
2012-06-30T18:44:15.128106+00:00,sim128[20107]:,chat,7,98.251.79.180,Client#5,9,A-Train Transit,you *almost* have positive income :)
2012-06-30T18:47:52.073989+00:00,sim128[20107]:,chat,5,90.15.130.115,PITEX,13,TRF,yes almost
2012-06-30T19:11:39.303976+00:00,sim128[20107]:,chat,5,90.15.130.115,PITEX,13,TRF,it's good i'm possitive income
2012-06-30T19:15:23.204599+00:00,sim128[20107]:,connect,8,85.216.238.158,Client#11
2012-06-30T19:15:37.460312+00:00,sim128[20107]:,chat,7,98.251.79.180,Client#5,9,A-Train Transit,hi
2012-06-30T19:16:50.778018+00:00,sim128[20107]:,disconnect,8,85.216.238.158,Client#11
2012-06-30T19:17:03.896146+00:00,sim128[20107]:,connect,8,85.216.238.158,Client#11
2012-06-30T19:17:30.330557+00:00,sim128[20107]:,chat,7,98.251.79.180,Client#5,9,A-Train Transit,do you have a slot to build client 11?
2012-06-30T19:17:33.027992+00:00,sim128[20107]:,disconnect,5,90.15.130.115,PITEX
2012-06-30T19:18:46.280106+00:00,sim128[20107]:,connect,5,90.15.130.115,PITEX
2012-06-30T19:24:49.093394+00:00,sim128[20107]:,disconnect,8,85.216.238.158,Client#11
2012-06-30T19:46:19.816451+00:00,sim128[20107]:,disconnect,7,98.251.79.180,Client#5
2012-06-30T20:39:06.041464+00:00,sim128[20107]:,disconnect,5,90.15.130.115,PITEX
2012-06-30T20:39:15.157326+00:00,sim128[20107]:,connect,7,90.15.130.115,PITEX
2012-06-30T23:56:08.137840+00:00,sim128[4606]:,connect,4,98.251.79.180,Client#5
